t,x,y,z
0.015,-27.2941,1.4913,0.5000
0.025,-27.2801,1.4909,0.5000
0.035,-27.2660,1.4905,0.5000
0.045,-27.2520,1.4901,0.5000
0.055,-27.2379,1.4897,0.5000
0.066,-27.2239,1.4893,0.5000
0.075,-27.2099,1.4888,0.5000
0.085,-27.1958,1.4884,0.5000
0.095,-27.1818,1.4879,0.5000
0.106,-27.1677,1.4874,0.5000
0.115,-27.1537,1.4870,0.5000
0.125,-27.1396,1.4865,0.5000
0.135,-27.1256,1.4860,0.5000
0.146,-27.1116,1.4855,0.5000
0.155,-27.0976,1.4850,0.5000
0.165,-27.0836,1.4845,0.5000
0.176,-27.0695,1.4839,0.5000
0.185,-27.0555,1.4834,0.5000
0.195,-27.0415,1.4829,0.5000
0.205,-27.0275,1.4823,0.5000
0.215,-27.0135,1.4817,0.5000
0.225,-26.9995,1.4812,0.5000
0.235,-26.9856,1.4806,0.5000
0.245,-26.9716,1.4800,0.5000
0.255,-26.9576,1.4794,0.5000
0.265,-26.9436,1.4788,0.5000
0.275,-26.9297,1.4782,0.5000
0.286,-26.9157,1.4776,0.5000
0.295,-26.9018,1.4770,0.5000
0.305,-26.8878,1.4764,0.5000
0.315,-26.8739,1.4758,0.5000
0.325,-26.8600,1.4751,0.5000
0.335,-26.8461,1.4745,0.5000
0.345,-26.8322,1.4738,0.5000
0.356,-26.8183,1.4732,0.5000
0.365,-26.8044,1.4725,0.5000
0.375,-26.7905,1.4719,0.5000
0.385,-26.7766,1.4712,0.5000
0.395,-26.7628,1.4705,0.5000
0.405,-26.7489,1.4699,0.5000
0.415,-26.7350,1.4692,0.5000
0.425,-26.7212,1.4685,0.5000
0.436,-26.7073,1.4678,0.5000
0.446,-26.6935,1.4671,0.5000
0.455,-26.6797,1.4664,0.5000
0.465,-26.6659,1.4657,0.5000
0.475,-26.6521,1.4650,0.5000
0.485,-26.6383,1.4643,0.5000
0.496,-26.6245,1.4636,0.5000
0.505,-26.6108,1.4629,0.5000
0.515,-26.5970,1.4621,0.5000
0.525,-26.5832,1.4614,0.5000
0.536,-26.5695,1.4607,0.5000
0.545,-26.5557,1.4600,0.5000
0.555,-26.5420,1.4592,0.5000
0.566,-26.5282,1.4585,0.5000
0.575,-26.5145,1.4578,0.5000
0.586,-26.5008,1.4571,0.5000
0.595,-26.4870,1.4563,0.5000
0.606,-26.4733,1.4556,0.5000
0.616,-26.4593,1.4548,0.5000
0.625,-26.4459,1.4541,0.5000
0.635,-26.4323,1.4534,0.5000
0.645,-26.4186,1.4526,0.5000
0.656,-26.4049,1.4519,0.5000
0.665,-26.3913,1.4512,0.5000
0.675,-26.3776,1.4504,0.5000
0.685,-26.3640,1.4497,0.5000
0.695,-26.3504,1.4490,0.5000
0.705,-26.3368,1.4482,0.5000
0.715,-26.3232,1.4475,0.5000
0.725,-26.3096,1.4468,0.5000
0.735,-26.2960,1.4460,0.5000
0.745,-26.2825,1.4453,0.5000
0.755,-26.2689,1.4446,0.5000
0.765,-26.2554,1.4438,0.5000
0.775,-26.2419,1.4431,0.5000
0.785,-26.2283,1.4424,0.5000
0.795,-26.2148,1.4417,0.5000
0.805,-26.2014,1.4409,0.5000
0.815,-26.1878,1.4402,0.5000
0.825,-26.1744,1.4395,0.5000
0.835,-26.1610,1.4388,0.5000
0.845,-26.1476,1.4381,0.5000
0.856,-26.1341,1.4374,0.5000
0.865,-26.1207,1.4367,0.5000
0.875,-26.1073,1.4360,0.5000
0.886,-26.0940,1.4353,0.5000
0.895,-26.0806,1.4346,0.5000
0.905,-26.0673,1.4339,0.5000
0.915,-26.0540,1.4332,0.5000
0.925,-26.0406,1.4326,0.5000
0.935,-26.0274,1.4319,0.5000
0.945,-26.0141,1.4312,0.5000
0.955,-26.0008,1.4305,0.5000
0.965,-25.9876,1.4299,0.5000
0.975,-25.9743,1.4292,0.5000
0.985,-25.9611,1.4286,0.5000
0.995,-25.9479,1.4279,0.5000
1.005,-25.9347,1.4273,0.5000
1.015,-25.9215,1.4266,0.5000
1.025,-25.9084,1.4260,0.5000
1.035,-25.8952,1.4254,0.5000
1.045,-25.8821,1.4247,0.5000
1.055,-25.8690,1.4241,0.5000
1.065,-25.8559,1.4235,0.5000
1.076,-25.8429,1.4229,0.5000
1.085,-25.8298,1.4223,0.5000
1.096,-25.8167,1.4217,0.5000
1.106,-25.8037,1.4211,0.5000
1.116,-25.7907,1.4205,0.5000
1.126,-25.7777,1.4199,0.5000
1.135,-25.7648,1.4194,0.5000
1.145,-25.7518,1.4188,0.5000
1.155,-25.7388,1.4182,0.5000
1.165,-25.7259,1.4177,0.5000
1.175,-25.7130,1.4171,0.5000
1.185,-25.7001,1.4166,0.5000
1.195,-25.6872,1.4160,0.5000
1.205,-25.6743,1.4155,0.5000
1.215,-25.6615,1.4150,0.5000
1.225,-25.6487,1.4145,0.5000
1.235,-25.6358,1.4139,0.5000
1.245,-25.6230,1.4134,0.5000
1.255,-25.6102,1.4129,0.5000
1.265,-25.5975,1.4124,0.5000
1.276,-25.5847,1.4119,0.5000
1.286,-25.5720,1.4115,0.5000
1.295,-25.5592,1.4110,0.5000
1.305,-25.5465,1.4105,0.5000
1.315,-25.5338,1.4101,0.5000
1.326,-25.5211,1.4096,0.5000
1.335,-25.5085,1.4092,0.5000
1.345,-25.4958,1.4087,0.5000
1.356,-25.4832,1.4083,0.5000
1.365,-25.4705,1.4079,0.5000
1.375,-25.4580,1.4075,0.5000
1.386,-25.4454,1.4070,0.5000
1.395,-25.4328,1.4066,0.5000
1.405,-25.4202,1.4062,0.5000
1.415,-25.4077,1.4059,0.5000
1.425,-25.3951,1.4055,0.5000
1.435,-25.3826,1.4051,0.5000
1.445,-25.3701,1.4047,0.5000
1.455,-25.3576,1.4044,0.5000
1.465,-25.3451,1.4040,0.5000
1.475,-25.3326,1.4037,0.5000
1.485,-25.3202,1.4033,0.5000
1.495,-25.3077,1.4030,0.5000
1.505,-25.2953,1.4027,0.5000
1.516,-25.2828,1.4023,0.5000
1.526,-25.2704,1.4020,0.5000
1.535,-25.2580,1.4017,0.5000
1.545,-25.2456,1.4014,0.5000
1.556,-25.2332,1.4011,0.5000
1.567,-25.2208,1.4009,0.5000
1.575,-25.2085,1.4006,0.5000
1.585,-25.1962,1.4003,0.5000
1.596,-25.1831,1.4000,0.5000
1.605,-25.1705,1.3998,0.5000
1.615,-25.1581,1.3995,0.5000
1.625,-25.1469,1.3993,0.5000
1.635,-25.1331,1.3991,0.5000
1.645,-25.1223,1.3989,0.5000
1.655,-25.1101,1.3987,0.5000
1.666,-25.0978,1.3985,0.5000
1.675,-25.0856,1.3982,0.5000
1.685,-25.0733,1.3981,0.5000
1.695,-25.0611,1.3979,0.5000
1.705,-25.0489,1.3977,0.5000
1.715,-25.0366,1.3975,0.5000
1.725,-25.0244,1.3973,0.5000
1.735,-25.0122,1.3972,0.5000
1.745,-25.0001,1.3970,0.5000
1.755,-24.9879,1.3969,0.5000
1.765,-24.9758,1.3967,0.5000
1.775,-24.9636,1.3966,0.5000
1.785,-24.9515,1.3965,0.5000
1.795,-24.9393,1.3964,0.5000
1.805,-24.9272,1.3963,0.5000
1.815,-24.9151,1.3962,0.5000
1.825,-24.9030,1.3960,0.5000
1.835,-24.8910,1.3960,0.5000
1.845,-24.8789,1.3959,0.5000
1.855,-24.8668,1.3958,0.5000
1.865,-24.8548,1.3957,0.5000
1.875,-24.8428,1.3956,0.5000
1.885,-24.8308,1.3956,0.5000
1.895,-24.8187,1.3955,0.5000
1.905,-24.8067,1.3955,0.5000
1.915,-24.7948,1.3954,0.5000
1.925,-24.7828,1.3954,0.5000
1.935,-24.7708,1.3953,0.5000
1.945,-24.7589,1.3953,0.5000
1.955,-24.7470,1.3953,0.5000
1.965,-24.7351,1.3953,0.5000
1.975,-24.7232,1.3953,0.5000
1.985,-24.7112,1.3953,0.5000
1.995,-24.6994,1.3953,0.5000
2.005,-24.6875,1.3953,0.5000
2.015,-24.6756,1.3953,0.5000
2.026,-24.6638,1.3953,0.5000
2.036,-24.6520,1.3953,0.5000
2.045,-24.6402,1.3953,0.5000
2.056,-24.6284,1.3954,0.5000
2.065,-24.6166,1.3954,0.5000
2.075,-24.6048,1.3954,0.5000
2.085,-24.5930,1.3955,0.5000
2.095,-24.5813,1.3955,0.5000
2.106,-24.5695,1.3956,0.5000
2.115,-24.5578,1.3956,0.5000
2.125,-24.5461,1.3957,0.5000
2.135,-24.5344,1.3958,0.5000
2.145,-24.5227,1.3959,0.5000
2.155,-24.5111,1.3959,0.5000
2.165,-24.4994,1.3960,0.5000
2.175,-24.4877,1.3961,0.5000
2.185,-24.4761,1.3962,0.5000
2.195,-24.4645,1.3963,0.5000
2.205,-24.4528,1.3964,0.5000
2.215,-24.4412,1.3965,0.5000
2.225,-24.4296,1.3966,0.5000
2.235,-24.4181,1.3967,0.5000
2.245,-24.4065,1.3969,0.5000
2.256,-24.3950,1.3970,0.5000
2.265,-24.3834,1.3971,0.5000
2.275,-24.3719,1.3972,0.5000
