x,y,z
10.4100,-6.1900,-0.9400
10.4100,-6.1900,-0.8400
10.4100,-6.1900,-0.7400
10.4100,-6.1900,-0.6400
10.4100,-6.1900,-0.5400
10.4100,-6.1900,-0.4400
10.4100,-6.1900,-0.3400
10.4100,-6.1900,-0.2400
10.4100,-6.1900,-0.1400
10.4100,-6.1900,-0.0400
10.4100,-6.1900,0.0600
10.4100,-6.1900,0.1600
10.4100,-6.1900,0.2600
10.4100,-6.1900,0.3600
10.4100,-6.1900,0.4600
10.4100,-6.1900,0.5600
10.4100,-6.1900,0.6600
10.4100,-6.1900,0.7600
10.4100,-6.1900,0.8600
10.4100,-6.1900,0.9600
10.4100,-6.1900,1.0600
10.4100,-6.1900,1.1600
10.4100,-6.1900,1.2600
10.4100,-6.1900,1.3600
10.4100,-6.1900,1.4600
10.4100,-6.1900,1.5600
10.4100,-6.1900,1.6600
10.4100,-6.1900,1.7600
10.4100,-6.1900,1.8600
10.4100,-6.1900,1.9600
10.4100,-6.1900,2.0600
10.4100,-6.1900,2.1600
10.4100,-6.1900,2.2600
10.4100,-6.1900,2.3600
10.4100,-6.1900,2.4600
10.4100,-6.0900,-0.9400
10.4100,-6.0900,-0.8400
10.4100,-6.0900,-0.7400
10.4100,-6.0900,-0.6400
10.4100,-6.0900,-0.5400
10.4100,-6.0900,-0.4400
10.4100,-6.0900,-0.3400
10.4100,-6.0900,-0.2400
10.4100,-6.0900,-0.1400
10.4100,-6.0900,-0.0400
10.4100,-6.0900,0.0600
10.4100,-6.0900,0.1600
10.4100,-6.0900,0.2600
10.4100,-6.0900,0.3600
10.4100,-6.0900,0.4600
10.4100,-6.0900,0.5600
10.4100,-6.0900,0.6600
10.4100,-6.0900,0.7600
10.4100,-6.0900,0.8600
10.4100,-6.0900,0.9600
10.4100,-6.0900,1.0600
10.4100,-6.0900,1.1600
10.4100,-6.0900,1.2600
10.4100,-6.0900,1.3600
10.4100,-6.0900,1.4600
10.4100,-6.0900,1.5600
10.4100,-6.0900,1.6600
10.4100,-6.0900,1.7600
10.4100,-6.0900,1.8600
10.4100,-6.0900,1.9600
10.4100,-6.0900,2.0600
10.4100,-6.0900,2.1600
10.4100,-6.0900,2.2600
10.4100,-6.0900,2.3600
10.4100,-6.0900,2.4600
10.4100,-6.0900,2.5600
10.4100,-6.0900,2.6600
10.4100,-6.0900,2.7600
10.4100,-5.9900,-0.9400
10.4100,-5.9900,-0.8400
10.4100,-5.9900,-0.7400
10.4100,-5.9900,-0.6400
10.4100,-5.9900,-0.5400
10.4100,-5.9900,-0.4400
10.4100,-5.9900,-0.3400
10.4100,-5.9900,-0.2400
10.4100,-5.9900,-0.1400
10.4100,-5.9900,-0.0400
10.4100,-5.9900,0.0600
10.4100,-5.9900,0.1600
10.4100,-5.9900,0.2600
10.4100,-5.9900,0.3600
10.4100,-5.9900,0.4600
10.4100,-5.9900,0.5600
10.4100,-5.9900,0.6600
10.4100,-5.9900,0.7600
10.4100,-5.9900,0.8600
10.4100,-5.9900,0.9600
10.4100,-5.9900,1.0600
10.4100,-5.9900,1.1600
10.4100,-5.9900,1.2600
10.4100,-5.9900,1.3600
10.4100,-5.9900,1.4600
10.4100,-5.9900,1.5600
10.4100,-5.9900,1.6600
10.4100,-5.9900,1.7600
10.4100,-5.9900,1.8600
10.4100,-5.9900,1.9600
10.4100,-5.9900,2.0600
10.4100,-5.9900,2.1600
10.4100,-5.9900,2.2600
10.4100,-5.9900,2.3600
10.4100,-5.9900,2.4600
10.4100,-5.9900,2.5600
10.4100,-5.9900,2.6600
10.4100,-5.9900,2.7600
10.5100,-6.2900,-0.9400
10.5100,-6.2900,-0.8400
10.5100,-6.2900,-0.7400
10.5100,-6.2900,-0.6400
10.5100,-6.2900,-0.5400
10.5100,-6.2900,-0.4400
10.5100,-6.2900,-0.3400
10.5100,-6.2900,-0.2400
10.5100,-6.2900,-0.1400
10.5100,-6.2900,-0.0400
10.5100,-6.2900,0.0600
10.5100,-6.2900,0.1600
10.5100,-6.2900,0.2600
10.5100,-6.2900,0.3600
10.5100,-6.2900,0.4600
10.5100,-6.2900,0.5600
10.5100,-6.2900,0.6600
10.5100,-6.2900,0.7600
10.5100,-6.2900,0.8600
10.5100,-6.2900,0.9600
10.5100,-6.2900,1.0600
10.5100,-6.2900,1.1600
10.5100,-6.2900,1.2600
10.5100,-6.2900,1.3600
10.5100,-6.2900,1.4600
10.5100,-6.2900,1.5600
10.5100,-6.2900,1.6600
10.5100,-6.2900,1.7600
10.5100,-6.2900,1.8600
10.5100,-6.2900,1.9600
10.5100,-6.2900,2.0600
10.5100,-6.2900,2.1600
10.5100,-6.2900,2.2600
10.5100,-6.2900,2.3600
10.5100,-6.2900,2.4600
10.5100,-6.2900,2.5600
10.5100,-6.2900,2.6600
10.5100,-6.2900,2.7600
10.5100,-6.1900,-0.9400
10.5100,-6.1900,-0.8400
10.5100,-6.1900,-0.7400
10.5100,-6.1900,-0.6400
10.5100,-6.1900,-0.5400
10.5100,-6.1900,-0.4400
10.5100,-6.1900,-0.3400
10.5100,-6.1900,-0.2400
10.5100,-6.1900,-0.1400
10.5100,-6.1900,-0.0400
10.5100,-6.1900,0.0600
10.5100,-6.1900,0.1600
10.5100,-6.1900,0.2600
10.5100,-6.1900,0.3600
10.5100,-6.1900,0.4600
10.5100,-6.1900,0.5600
10.5100,-6.1900,0.6600
10.5100,-6.1900,0.7600
10.5100,-6.1900,0.8600
10.5100,-6.1900,0.9600
10.5100,-6.1900,1.0600
10.5100,-6.1900,1.1600
10.5100,-6.1900,1.2600
10.5100,-6.1900,1.3600
10.5100,-6.1900,1.4600
10.5100,-6.1900,1.5600
10.5100,-6.1900,1.6600
10.5100,-6.1900,1.7600
10.5100,-6.1900,1.8600
10.5100,-6.1900,1.9600
10.5100,-6.1900,2.0600
10.5100,-6.1900,2.1600
10.5100,-6.1900,2.2600
10.5100,-6.1900,2.3600
10.5100,-6.1900,2.4600
10.5100,-6.1900,2.5600
10.5100,-6.1900,2.6600
10.5100,-6.1900,2.7600
10.5100,-6.0900,-0.9400
10.5100,-6.0900,-0.8400
10.5100,-6.0900,-0.7400
10.5100,-6.0900,-0.6400
10.5100,-6.0900,-0.5400
10.5100,-6.0900,-0.4400
10.5100,-6.0900,-0.3400
10.5100,-6.0900,-0.2400
10.5100,-6.0900,-0.1400
10.5100,-6.0900,-0.0400
10.5100,-6.0900,0.0600
10.5100,-6.0900,0.1600
10.5100,-6.0900,0.2600
10.5100,-6.0900,0.3600
10.5100,-6.0900,0.4600
10.5100,-6.0900,0.5600
10.5100,-6.0900,0.6600
10.5100,-6.0900,0.7600
10.5100,-6.0900,0.8600
10.5100,-6.0900,0.9600
10.5100,-6.0900,1.0600
10.5100,-6.0900,1.1600
10.5100,-6.0900,1.2600
10.5100,-6.0900,1.3600
10.5100,-6.0900,1.4600
10.5100,-6.0900,1.5600
10.5100,-6.0900,1.6600
10.5100,-6.0900,1.7600
10.5100,-6.0900,1.8600
10.5100,-6.0900,1.9600
10.5100,-6.0900,2.0600
10.5100,-6.0900,2.1600
10.5100,-5.9900,-0.9400
10.5100,-5.9900,-0.8400
10.5100,-5.9900,-0.7400
10.5100,-5.9900,-0.6400
10.5100,-5.9900,-0.5400
10.5100,-5.9900,-0.4400
10.5100,-5.9900,-0.3400
10.5100,-5.9900,-0.2400
10.5100,-5.9900,-0.1400
10.5100,-5.9900,-0.0400
10.5100,-5.9900,0.0600
10.5100,-5.9900,0.1600
10.5100,-5.9900,0.2600
10.5100,-5.9900,0.3600
10.5100,-5.9900,0.4600
10.5100,-5.9900,0.5600
10.5100,-5.9900,0.6600
10.5100,-5.9900,0.7600
10.5100,-5.9900,0.8600
10.5100,-5.9900,0.9600
10.5100,-5.9900,1.0600
10.5100,-5.9900,1.1600
10.5100,-5.9900,1.2600
10.5100,-5.9900,1.3600
10.5100,-5.9900,1.4600
10.5100,-5.9900,1.5600
10.5100,-5.9900,1.6600
10.5100,-5.9900,1.7600
10.5100,-5.9900,1.8600
10.5100,-5.9900,1.9600
10.5100,-5.9900,2.0600
10.5100,-5.9900,2.1600
10.5100,-5.9900,2.2600
10.5100,-5.9900,2.3600
10.5100,-5.9900,2.4600
10.5100,-5.9900,2.5600
10.5100,-5.9900,2.6600
10.5100,-5.8900,-0.9400
10.5100,-5.8900,-0.8400
10.5100,-5.8900,-0.7400
10.5100,-5.8900,-0.6400
10.5100,-5.8900,-0.5400
10.5100,-5.8900,-0.4400
10.5100,-5.8900,-0.3400
10.5100,-5.8900,-0.2400
10.5100,-5.8900,-0.1400
10.5100,-5.8900,-0.0400
10.5100,-5.8900,0.0600
10.5100,-5.8900,0.1600
10.5100,-5.8900,0.2600
10.5100,-5.8900,0.3600
10.5100,-5.8900,0.4600
10.5100,-5.8900,0.5600
10.5100,-5.8900,0.6600
10.5100,-5.8900,0.7600
10.5100,-5.8900,0.8600
10.5100,-5.8900,0.9600
10.5100,-5.8900,1.0600
10.5100,-5.8900,1.1600
10.5100,-5.8900,1.2600
10.5100,-5.8900,1.3600
10.5100,-5.8900,1.4600
10.5100,-5.8900,1.5600
10.5100,-5.8900,1.6600
10.5100,-5.8900,1.7600
10.5100,-5.8900,1.8600
10.5100,-5.8900,1.9600
10.5100,-5.8900,2.0600
10.5100,-5.8900,2.1600
10.5100,-5.8900,2.2600
10.5100,-5.8900,2.3600
10.5100,-5.8900,2.4600
10.5100,-5.8900,2.5600
10.5100,-5.8900,2.6600
10.5100,-5.8900,2.7600
10.6100,-6.2900,-0.9400
10.6100,-6.2900,-0.8400
10.6100,-6.2900,-0.7400
10.6100,-6.2900,-0.6400
10.6100,-6.2900,-0.5400
10.6100,-6.2900,-0.4400
10.6100,-6.2900,-0.3400
10.6100,-6.2900,-0.2400
10.6100,-6.2900,-0.1400
10.6100,-6.2900,-0.0400
10.6100,-6.2900,0.0600
10.6100,-6.2900,0.1600
10.6100,-6.2900,0.2600
10.6100,-6.2900,0.3600
10.6100,-6.2900,0.4600
10.6100,-6.2900,0.5600
10.6100,-6.2900,0.6600
10.6100,-6.2900,0.7600
10.6100,-6.2900,0.8600
10.6100,-6.2900,0.9600
10.6100,-6.2900,1.0600
10.6100,-6.2900,1.1600
10.6100,-6.2900,1.2600
10.6100,-6.2900,1.3600
10.6100,-6.2900,1.4600
10.6100,-6.2900,1.5600
10.6100,-6.2900,1.6600
10.6100,-6.2900,1.7600
10.6100,-6.2900,1.8600
10.6100,-6.2900,1.9600
10.6100,-6.2900,2.0600
10.6100,-6.2900,2.1600
10.6100,-6.2900,2.2600
10.6100,-6.1900,-0.9400
10.6100,-6.1900,-0.8400
10.6100,-6.1900,-0.7400
10.6100,-6.1900,-0.6400
10.6100,-6.1900,-0.5400
10.6100,-6.1900,-0.4400
10.6100,-6.1900,-0.3400
10.6100,-6.1900,-0.2400
10.6100,-6.1900,-0.1400
10.6100,-6.1900,-0.0400
10.6100,-6.1900,0.0600
10.6100,-6.1900,0.1600
10.6100,-6.1900,0.2600
10.6100,-6.1900,0.3600
10.6100,-6.1900,0.4600
10.6100,-6.1900,0.5600
10.6100,-6.1900,0.6600
10.6100,-6.1900,0.7600
10.6100,-6.1900,0.8600
10.6100,-6.1900,0.9600
10.6100,-6.1900,1.0600
10.6100,-6.1900,1.1600
10.6100,-6.1900,1.2600
10.6100,-6.1900,1.3600
10.6100,-6.1900,1.4600
10.6100,-6.1900,1.5600
10.6100,-6.1900,1.6600
10.6100,-6.1900,1.7600
10.6100,-6.1900,1.8600
10.6100,-6.1900,1.9600
10.6100,-6.1900,2.0600
10.6100,-6.0900,-0.9400
10.6100,-6.0900,-0.8400
10.6100,-6.0900,-0.7400
10.6100,-6.0900,-0.6400
10.6100,-6.0900,-0.5400
10.6100,-6.0900,-0.4400
10.6100,-6.0900,-0.3400
10.6100,-6.0900,-0.2400
10.6100,-6.0900,-0.1400
10.6100,-6.0900,-0.0400
10.6100,-6.0900,0.0600
10.6100,-6.0900,0.1600
10.6100,-6.0900,0.2600
10.6100,-6.0900,0.3600
10.6100,-6.0900,0.4600
10.6100,-6.0900,0.5600
10.6100,-6.0900,0.6600
10.6100,-6.0900,0.7600
10.6100,-6.0900,0.8600
10.6100,-6.0900,0.9600
10.6100,-6.0900,1.0600
10.6100,-6.0900,1.1600
10.6100,-6.0900,1.2600
10.6100,-6.0900,1.3600
10.6100,-6.0900,1.4600
10.6100,-6.0900,1.5600
10.6100,-6.0900,1.6600
10.6100,-6.0900,1.7600
10.6100,-6.0900,1.8600
