t,x,y,z,vx,vy,vz,ax,ay,az
0.006,-24.5110,-0.0113,0.5000,1.2037,-0.0372,0.0000,-0.3638,-0.0592,0.0000
0.017,-24.4990,-0.0116,0.5000,1.2000,-0.0378,0.0000,-0.3633,-0.0585,0.0000
0.027,-24.4870,-0.0120,0.5000,1.1964,-0.0384,0.0000,-0.3625,-0.0578,0.0000
0.037,-24.4750,-0.0124,0.5000,1.1927,-0.0390,0.0000,-0.3613,-0.0571,0.0000
0.047,-24.4631,-0.0128,0.5000,1.1891,-0.0396,0.0000,-0.3598,-0.0564,0.0000
0.057,-24.4511,-0.0132,0.5000,1.1855,-0.0401,0.0000,-0.3580,-0.0556,0.0000
0.067,-24.4394,-0.0136,0.5000,1.1820,-0.0407,0.0000,-0.3559,-0.0549,0.0000
0.077,-24.4276,-0.0140,0.5000,1.1784,-0.0412,0.0000,-0.3534,-0.0541,0.0000
0.087,-24.4158,-0.0144,0.5000,1.1749,-0.0418,0.0000,-0.3506,-0.0533,0.0000
0.097,-24.4041,-0.0148,0.5000,1.1714,-0.0423,0.0000,-0.3475,-0.0524,0.0000
0.107,-24.3924,-0.0153,0.5000,1.1680,-0.0428,0.0000,-0.3442,-0.0516,0.0000
0.117,-24.3807,-0.0157,0.5000,1.1645,-0.0433,0.0000,-0.3405,-0.0507,0.0000
0.127,-24.3691,-0.0161,0.5000,1.1612,-0.0438,0.0000,-0.3366,-0.0498,0.0000
0.137,-24.3575,-0.0166,0.5000,1.1578,-0.0443,0.0000,-0.3324,-0.0488,0.0000
0.147,-24.3459,-0.0170,0.5000,1.1545,-0.0448,0.0000,-0.3279,-0.0479,0.0000
0.157,-24.3344,-0.0175,0.5000,1.1513,-0.0453,0.0000,-0.3232,-0.0469,0.0000
0.167,-24.3229,-0.0179,0.5000,1.1480,-0.0457,0.0000,-0.3181,-0.0459,0.0000
0.177,-24.3115,-0.0184,0.5000,1.1449,-0.0462,0.0000,-0.3129,-0.0449,0.0000
0.187,-24.3000,-0.0188,0.5000,1.1418,-0.0466,0.0000,-0.3074,-0.0439,0.0000
0.197,-24.2886,-0.0193,0.5000,1.1387,-0.0471,0.0000,-0.3017,-0.0429,0.0000
0.207,-24.2773,-0.0198,0.5000,1.1358,-0.0475,0.0000,-0.2957,-0.0418,0.0000
0.217,-24.2659,-0.0203,0.5000,1.1328,-0.0479,0.0000,-0.2895,-0.0408,0.0000
0.227,-24.2545,-0.0208,0.5000,1.1299,-0.0483,0.0000,-0.2831,-0.0397,0.0000
0.237,-24.2433,-0.0212,0.5000,1.1272,-0.0487,0.0000,-0.2765,-0.0386,0.0000
0.247,-24.2319,-0.0217,0.5000,1.1244,-0.0491,0.0000,-0.2697,-0.0375,0.0000
0.257,-24.2208,-0.0222,0.5000,1.1218,-0.0494,0.0000,-0.2628,-0.0364,0.0000
0.267,-24.2096,-0.0227,0.5000,1.1192,-0.0498,0.0000,-0.2556,-0.0352,0.0000
0.277,-24.1983,-0.0232,0.5000,1.1166,-0.0502,0.0000,-0.2481,-0.0340,0.0000
0.287,-24.1873,-0.0237,0.5000,1.1142,-0.0505,0.0000,-0.2406,-0.0329,0.0000
0.297,-24.1762,-0.0242,0.5000,1.1118,-0.0508,0.0000,-0.2329,-0.0317,0.0000
0.307,-24.1650,-0.0247,0.5000,1.1096,-0.0511,0.0000,-0.2250,-0.0305,0.0000
0.317,-24.1540,-0.0252,0.5000,1.1073,-0.0514,0.0000,-0.2170,-0.0293,0.0000
0.327,-24.1429,-0.0258,0.5000,1.1052,-0.0517,0.0000,-0.2088,-0.0281,0.0000
0.337,-24.1319,-0.0263,0.5000,1.1032,-0.0520,0.0000,-0.2005,-0.0269,0.0000
0.347,-24.1206,-0.0268,0.5000,1.1012,-0.0522,0.0000,-0.1918,-0.0256,0.0000
0.357,-24.1098,-0.0273,0.5000,1.0993,-0.0525,0.0000,-0.1834,-0.0244,0.0000
0.367,-24.0988,-0.0278,0.5000,1.0975,-0.0527,0.0000,-0.1747,-0.0232,0.0000
0.377,-24.0879,-0.0284,0.5000,1.0958,-0.0530,0.0000,-0.1659,-0.0219,0.0000
0.387,-24.0769,-0.0289,0.5000,1.0942,-0.0532,0.0000,-0.1569,-0.0207,0.0000
0.396,-24.0660,-0.0294,0.5000,1.0927,-0.0533,0.0000,-0.1429,-0.0169,0.0000
0.407,-24.0550,-0.0300,0.5000,1.0914,-0.0535,0.0000,-0.1307,-0.0140,0.0000
0.417,-24.0442,-0.0305,0.5000,1.0901,-0.0536,0.0000,-0.1189,-0.0111,0.0000
0.427,-24.0333,-0.0310,0.5000,1.0890,-0.0537,0.0000,-0.1073,-0.0083,0.0000
0.436,-24.0224,-0.0316,0.5000,1.0880,-0.0538,0.0000,-0.0959,-0.0056,0.0000
0.447,-24.0115,-0.0321,0.5000,1.0871,-0.0538,0.0000,-0.0847,-0.0029,0.0000
0.457,-24.0007,-0.0327,0.5000,1.0863,-0.0539,0.0000,-0.0737,-0.0002,0.0000
0.467,-23.9898,-0.0332,0.5000,1.0856,-0.0538,0.0000,-0.0629,0.0024,0.0000
0.477,-23.9790,-0.0337,0.5000,1.0850,-0.0538,0.0000,-0.0523,0.0049,0.0000
0.487,-23.9681,-0.0343,0.5000,1.0846,-0.0537,0.0000,-0.0419,0.0075,0.0000
0.497,-23.9573,-0.0348,0.5000,1.0842,-0.0537,0.0000,-0.0317,0.0099,0.0000
0.507,-23.9462,-0.0354,0.5000,1.0839,-0.0535,0.0000,-0.0216,0.0124,0.0000
0.517,-23.9356,-0.0359,0.5000,1.0837,-0.0534,0.0000,-0.0120,0.0147,0.0000
0.527,-23.9247,-0.0364,0.5000,1.0837,-0.0533,0.0000,-0.0024,0.0171,0.0000
0.537,-23.9139,-0.0369,0.5000,1.0837,-0.0531,0.0000,0.0070,0.0194,0.0000
0.547,-23.9030,-0.0375,0.5000,1.0838,-0.0529,0.0000,0.0162,0.0216,0.0000
0.557,-23.8922,-0.0380,0.5000,1.0840,-0.0526,0.0000,0.0252,0.0238,0.0000
0.567,-23.8814,-0.0385,0.5000,1.0843,-0.0524,0.0000,0.0340,0.0260,0.0000
0.577,-23.8705,-0.0391,0.5000,1.0847,-0.0521,0.0000,0.0426,0.0281,0.0000
0.587,-23.8597,-0.0396,0.5000,1.0852,-0.0518,0.0000,0.0510,0.0302,0.0000
0.597,-23.8488,-0.0401,0.5000,1.0857,-0.0515,0.0000,0.0593,0.0322,0.0000
0.607,-23.8380,-0.0406,0.5000,1.0864,-0.0512,0.0000,0.0673,0.0342,0.0000
0.617,-23.8271,-0.0411,0.5000,1.0871,-0.0508,0.0000,0.0752,0.0362,0.0000
0.627,-23.8162,-0.0416,0.5000,1.0879,-0.0505,0.0000,0.0828,0.0381,0.0000
0.637,-23.8053,-0.0421,0.5000,1.0887,-0.0501,0.0000,0.0904,0.0399,0.0000
0.647,-23.7945,-0.0426,0.5000,1.0897,-0.0497,0.0000,0.0977,0.0418,0.0000
0.657,-23.7835,-0.0431,0.5000,1.0907,-0.0492,0.0000,0.1048,0.0436,0.0000
0.667,-23.7726,-0.0436,0.5000,1.0918,-0.0488,0.0000,0.1118,0.0453,0.0000
0.677,-23.7617,-0.0441,0.5000,1.0929,-0.0483,0.0000,0.1186,0.0470,0.0000
0.687,-23.7508,-0.0446,0.5000,1.0941,-0.0478,0.0000,0.1252,0.0487,0.0000
0.697,-23.7398,-0.0450,0.5000,1.0954,-0.0474,0.0000,0.1316,0.0503,0.0000
0.707,-23.7289,-0.0455,0.5000,1.0968,-0.0468,0.0000,0.1379,0.0519,0.0000
