t,x,y,z,vx,vy,vz,ax,ay,az
0.005,-25.3367,-0.0001,0.5000,0.8166,-0.0004,0.0000,0.2977,-0.0010,0.0000
0.015,-25.3285,-0.0001,0.5000,0.8196,-0.0004,0.0000,0.2935,-0.0010,0.0000
0.025,-25.3203,-0.0001,0.5000,0.8225,-0.0004,0.0000,0.2893,-0.0010,0.0000
0.035,-25.3121,-0.0001,0.5000,0.8254,-0.0004,0.0000,0.2852,-0.0010,0.0000
0.045,-25.3038,-0.0001,0.5000,0.8282,-0.0004,0.0000,0.2810,-0.0010,0.0000
0.055,-25.2955,-0.0001,0.5000,0.8310,-0.0004,0.0000,0.2769,-0.0010,0.0000
0.065,-25.2872,-0.0001,0.5000,0.8337,-0.0005,0.0000,0.2729,-0.0010,0.0000
0.075,-25.2788,-0.0001,0.5000,0.8364,-0.0005,0.0000,0.2689,-0.0010,0.0000
0.085,-25.2705,-0.0001,0.5000,0.8391,-0.0005,0.0000,0.2649,-0.0010,0.0000
0.095,-25.2620,-0.0001,0.5000,0.8417,-0.0005,0.0000,0.2610,-0.0010,0.0000
0.105,-25.2536,-0.0001,0.5000,0.8443,-0.0005,0.0000,0.2571,-0.0010,0.0000
0.115,-25.2452,-0.0001,0.5000,0.8469,-0.0005,0.0000,0.2532,-0.0010,0.0000
0.125,-25.2367,-0.0001,0.5000,0.8494,-0.0005,0.0000,0.2494,-0.0010,0.0000
0.135,-25.2282,-0.0002,0.5000,0.8519,-0.0005,0.0000,0.2456,-0.0010,0.0000
0.145,-25.2196,-0.0002,0.5000,0.8543,-0.0005,0.0000,0.2419,-0.0010,0.0000
0.155,-25.2111,-0.0002,0.5000,0.8567,-0.0005,0.0000,0.2381,-0.0010,0.0000
0.165,-25.2025,-0.0002,0.5000,0.8591,-0.0006,0.0000,0.2345,-0.0010,0.0000
0.175,-25.1939,-0.0002,0.5000,0.8614,-0.0006,0.0000,0.2308,-0.0010,0.0000
0.185,-25.1853,-0.0002,0.5000,0.8637,-0.0006,0.0000,0.2272,-0.0010,0.0000
0.195,-25.1766,-0.0002,0.5000,0.8659,-0.0006,0.0000,0.2236,-0.0010,0.0000
0.205,-25.1679,-0.0002,0.5000,0.8682,-0.0006,0.0000,0.2201,-0.0010,0.0000
0.215,-25.1593,-0.0002,0.5000,0.8703,-0.0006,0.0000,0.2166,-0.0010,0.0000
