t,x,y,z
0.004,-25.3538,-0.0000,0.5000
0.014,-25.3456,-0.0000,0.5000
0.024,-25.3374,-0.0000,0.5000
0.034,-25.3291,-0.0000,0.5000
0.044,-25.3209,-0.0000,0.5000
0.054,-25.3126,-0.0000,0.5000
0.064,-25.3043,-0.0000,0.5000
0.074,-25.2959,-0.0000,0.5000
0.084,-25.2875,-0.0000,0.5000
0.094,-25.2791,-0.0000,0.5000
0.104,-25.2706,-0.0000,0.5000
0.114,-25.2622,-0.0000,0.5000
0.124,-25.2537,-0.0000,0.5000
0.134,-25.2451,-0.0000,0.5000
0.144,-25.2366,-0.0000,0.5000
0.154,-25.2280,-0.0000,0.5000
0.164,-25.2194,-0.0000,0.5000
0.174,-25.2108,-0.0000,0.5000
0.184,-25.2021,-0.0000,0.5000
0.194,-25.1934,-0.0000,0.5000
0.204,-25.1847,-0.0000,0.5000
0.214,-25.1760,-0.0000,0.5000
0.224,-25.1672,-0.0000,0.5000
0.234,-25.1584,-0.0000,0.5000
0.244,-25.1496,-0.0000,0.5000
0.254,-25.1408,-0.0000,0.5000
0.264,-25.1319,-0.0000,0.5000
0.274,-25.1230,-0.0000,0.5000
0.284,-25.1142,-0.0000,0.5000
0.294,-25.1052,-0.0000,0.5000
0.304,-25.0963,-0.0000,0.5000
0.314,-25.0873,-0.0000,0.5000
0.324,-25.0784,-0.0000,0.5000
0.334,-25.0693,-0.0000,0.5000
0.344,-25.0603,-0.0000,0.5000
0.354,-25.0513,-0.0000,0.5000
0.364,-25.0422,-0.0000,0.5000
0.374,-25.0331,-0.0000,0.5000
0.384,-25.0240,-0.0000,0.5000
0.394,-25.0149,-0.0000,0.5000
0.404,-25.0058,-0.0000,0.5000
0.414,-24.9967,-0.0000,0.5000
0.424,-24.9875,-0.0000,0.5000
0.434,-24.9783,-0.0000,0.5000
0.444,-24.9690,-0.0000,0.5000
0.454,-24.9590,-0.0000,0.5000
0.464,-24.9507,-0.0000,0.5000
0.474,-24.9413,-0.0000,0.5000
0.484,-24.9321,-0.0000,0.5000
0.494,-24.9228,-0.0000,0.5000
0.504,-24.9135,-0.0000,0.5000
0.514,-24.9040,-0.0000,0.5000
0.524,-24.8939,-0.0000,0.5000
0.534,-24.8855,-0.0000,0.5000
0.544,-24.8759,-0.0000,0.5000
0.554,-24.8669,-0.0000,0.5000
0.564,-24.8575,-0.0000,0.5000
0.574,-24.8481,-0.0000,0.5000
0.584,-24.8387,-0.0000,0.5000
0.594,-24.8293,-0.0000,0.5000
0.604,-24.8199,-0.0000,0.5000
0.614,-24.8105,-0.0000,0.5000
0.624,-24.8010,-0.0000,0.5000
0.634,-24.7916,-0.0000,0.5000
0.644,-24.7821,-0.0000,0.5000
0.654,-24.7726,-0.0000,0.5000
0.664,-24.7632,-0.0000,0.5000
0.674,-24.7537,-0.0000,0.5000
0.684,-24.7442,-0.0000,0.5000
0.694,-24.7347,-0.0000,0.5000
0.704,-24.7252,-0.0000,0.5000
0.714,-24.7157,-0.0000,0.5000
0.724,-24.7062,-0.0000,0.5000
0.734,-24.6965,-0.0000,0.5000
0.744,-24.6870,-0.0000,0.5000
0.754,-24.6776,-0.0000,0.5000
0.764,-24.6680,-0.0000,0.5000
0.774,-24.6585,-0.0000,0.5000
0.784,-24.6490,-0.0000,0.5000
0.794,-24.6395,-0.0000,0.5000
0.804,-24.6299,-0.0000,0.5000
0.814,-24.6204,-0.0000,0.5000
0.824,-24.6108,-0.0000,0.5000
0.834,-24.6013,-0.0000,0.5000
0.844,-24.5917,-0.0000,0.5000
0.854,-24.5822,-0.0000,0.5000
0.864,-24.5726,-0.0000,0.5000
0.874,-24.5631,-0.0000,0.5000
0.884,-24.5535,-0.0000,0.5000
0.894,-24.5440,-0.0000,0.5000
0.904,-24.5344,-0.0000,0.5000
0.914,-24.5249,-0.0000,0.5000
0.924,-24.5153,-0.0000,0.5000
0.934,-24.5058,-0.0000,0.5000
0.944,-24.4962,-0.0000,0.5000
0.954,-24.4867,-0.0000,0.5000
0.964,-24.4771,-0.0000,0.5000
0.974,-24.4676,-0.0000,0.5000
0.984,-24.4581,-0.0000,0.5000
0.994,-24.4485,-0.0000,0.5000
1.004,-24.4389,-0.0000,0.5000
1.014,-24.4294,-0.0000,0.5000
1.024,-24.4199,-0.0000,0.5000
1.034,-24.4104,-0.0000,0.5000
1.044,-24.4008,-0.0000,0.5000
1.054,-24.3913,-0.0000,0.5000
1.064,-24.3818,-0.0000,0.5000
1.074,-24.3723,-0.0000,0.5000
1.084,-24.3628,-0.0000,0.5000
1.094,-24.3533,-0.0000,0.5000
1.104,-24.3438,-0.0000,0.5000
1.114,-24.3343,-0.0000,0.5000
1.124,-24.3248,-0.0000,0.5000
1.134,-24.3153,-0.0000,0.5000
1.144,-24.3059,-0.0000,0.5000
1.154,-24.2964,-0.0000,0.5000
1.164,-24.2869,-0.0000,0.5000
1.174,-24.2774,-0.0000,0.5000
1.184,-24.2680,-0.0000,0.5000
1.194,-24.2585,-0.0000,0.5000
1.204,-24.2491,-0.0000,0.5000
1.214,-24.2396,-0.0000,0.5000
1.224,-24.2302,-0.0000,0.5000
1.234,-24.2207,-0.0000,0.5000
1.244,-24.2113,-0.0000,0.5000
1.254,-24.2019,-0.0000,0.5000
1.264,-24.1925,-0.0000,0.5000
1.274,-24.1831,-0.0000,0.5000
1.284,-24.1737,-0.0000,0.5000
1.294,-24.1643,-0.0000,0.5000
1.304,-24.1549,-0.0000,0.5000
1.314,-24.1455,-0.0000,0.5000
1.324,-24.1361,-0.0000,0.5000
1.334,-24.1267,-0.0000,0.5000
1.344,-24.1174,-0.0000,0.5000
1.354,-24.1080,-0.0000,0.5000
1.364,-24.0987,-0.0000,0.5000
1.374,-24.0893,-0.0000,0.5000
1.384,-24.0800,-0.0000,0.5000
1.394,-24.0706,-0.0000,0.5000
1.404,-24.0613,-0.0000,0.5000
1.414,-24.0520,-0.0000,0.5000
1.424,-24.0427,-0.0000,0.5000
1.434,-24.0334,-0.0000,0.5000
1.444,-24.0241,-0.0000,0.5000
1.454,-24.0148,-0.0000,0.5000
1.464,-24.0055,-0.0000,0.5000
1.474,-23.9962,-0.0000,0.5000
1.484,-23.9869,-0.0000,0.5000
1.494,-23.9776,-0.0000,0.5000
1.504,-23.9684,-0.0000,0.5000
1.514,-23.9591,-0.0000,0.5000
1.524,-23.9496,-0.0000,0.5000
1.534,-23.9406,-0.0000,0.5000
1.544,-23.9313,-0.0000,0.5000
1.554,-23.9221,-0.0000,0.5000
1.564,-23.9129,-0.0000,0.5000
1.574,-23.9037,-0.0000,0.5000
1.584,-23.8945,-0.0000,0.5000
1.594,-23.8852,-0.0000,0.5000
1.604,-23.8760,-0.0000,0.5000
1.614,-23.8668,-0.0000,0.5000
1.624,-23.8576,-0.0000,0.5000
1.634,-23.8471,-0.0000,0.5000
1.644,-23.8392,-0.0000,0.5000
1.654,-23.8301,-0.0000,0.5000
1.664,-23.8209,-0.0000,0.5000
1.674,-23.8117,-0.0000,0.5000
1.684,-23.8026,-0.0000,0.5000
1.694,-23.7934,-0.0000,0.5000
1.704,-23.7843,-0.0000,0.5000
1.714,-23.7751,-0.0000,0.5000
1.724,-23.7660,-0.0000,0.5000
1.734,-23.7568,-0.0000,0.5000
1.744,-23.7477,-0.0000,0.5000
1.754,-23.7386,-0.0000,0.5000
1.764,-23.7295,-0.0000,0.5000
1.774,-23.7203,-0.0000,0.5000
1.784,-23.7106,-0.0000,0.5000
1.794,-23.7021,-0.0000,0.5000
1.804,-23.6931,-0.0000,0.5000
1.814,-23.6840,-0.0000,0.5000
1.824,-23.6749,-0.0000,0.5000
1.834,-23.6658,-0.0000,0.5000
1.844,-23.6567,-0.0000,0.5000
1.854,-23.6476,-0.0000,0.5000
1.864,-23.6386,-0.0000,0.5000
1.874,-23.6295,-0.0000,0.5000
1.884,-23.6204,-0.0000,0.5000
1.894,-23.6114,-0.0000,0.5000
1.904,-23.6023,-0.0000,0.5000
1.914,-23.5933,-0.0000,0.5000
1.924,-23.5843,-0.0000,0.5000
1.934,-23.5752,-0.0000,0.5000
1.944,-23.5662,-0.0000,0.5000
1.954,-23.5572,-0.0000,0.5000
1.964,-23.5480,-0.0000,0.5000
1.974,-23.5392,-0.0000,0.5000
1.984,-23.5297,-0.0000,0.5000
1.994,-23.5211,-0.0000,0.5000
2.004,-23.5121,-0.0000,0.5000
2.014,-23.5032,-0.0000,0.5000
2.024,-23.4942,-0.0000,0.5000
2.034,-23.4852,-0.0000,0.5000
2.044,-23.4762,-0.0000,0.5000
2.054,-23.4672,-0.0000,0.5000
2.064,-23.4583,-0.0000,0.5000
2.074,-23.4493,-0.0000,0.5000
2.084,-23.4403,-0.0000,0.5000
2.094,-23.4314,-0.0000,0.5000
2.104,-23.4224,-0.0000,0.5000
2.114,-23.4135,-0.0000,0.5000
2.124,-23.4045,-0.0000,0.5000
2.134,-23.3956,-0.0000,0.5000
2.144,-23.3866,-0.0000,0.5000
2.154,-23.3777,-0.0000,0.5000
2.164,-23.3688,-0.0000,0.5000
2.174,-23.3598,-0.0000,0.5000
2.184,-23.3509,-0.0000,0.5000
2.194,-23.3420,-0.0000,0.5000
2.204,-23.3330,-0.0000,0.5000
2.214,-23.3241,-0.0000,0.5000
2.224,-23.3152,-0.0000,0.5000
2.234,-23.3063,-0.0000,0.5000
2.244,-23.2974,-0.0000,0.5000
2.254,-23.2885,-0.0000,0.5000
2.264,-23.2796,-0.0000,0.5000
2.274,-23.2706,-0.0000,0.5000
2.284,-23.2618,-0.0000,0.5000
2.294,-23.2529,-0.0000,0.5000
2.304,-23.2440,-0.0000,0.5000
2.314,-23.2351,-0.0000,0.5000
2.324,-23.2262,-0.0000,0.5000
2.334,-23.2173,-0.0000,0.5000
2.344,-23.2084,-0.0000,0.5000
2.354,-23.1995,-0.0000,0.5000
2.364,-23.1907,-0.0000,0.5000
2.374,-23.1818,-0.0000,0.5000
2.384,-23.1729,-0.0000,0.5000
2.394,-23.1640,-0.0000,0.5000
2.404,-23.1552,-0.0000,0.5000
2.414,-23.1463,-0.0000,0.5000
2.424,-23.1374,-0.0000,0.5000
2.434,-23.1285,-0.0000,0.5000
2.444,-23.1197,-0.0000,0.5000
2.454,-23.1108,-0.0000,0.5000
2.464,-23.1019,-0.0000,0.5000
2.474,-23.0931,-0.0000,0.5000
2.484,-23.0842,-0.0000,0.5000
2.494,-23.0753,-0.0000,0.5000
2.504,-23.0665,-0.0000,0.5000
2.514,-23.0576,-0.0000,0.5000
2.524,-23.0487,-0.0000,0.5000
2.534,-23.0399,-0.0000,0.5000
2.544,-23.0310,-0.0000,0.5000
2.554,-23.0221,-0.0000,0.5000
2.564,-23.0133,-0.0000,0.5000
2.574,-23.0044,-0.0000,0.5000
2.584,-22.9955,-0.0000,0.5000
2.594,-22.9867,-0.0000,0.5000
2.604,-22.9778,-0.0000,0.5000
2.614,-22.9689,-0.0000,0.5000
2.624,-22.9601,-0.0000,0.5000
2.634,-22.9512,-0.0000,0.5000
2.644,-22.9423,-0.0000,0.5000
2.654,-22.9335,-0.0000,0.5000
2.664,-22.9246,-0.0000,0.5000
2.674,-22.9157,-0.0000,0.5000
2.684,-22.9068,-0.0000,0.5000
2.694,-22.8979,-0.0000,0.5000
2.704,-22.8891,-0.0000,0.5000
2.714,-22.8799,-0.0000,0.5000
2.724,-22.8713,-0.0000,0.5000
2.734,-22.8624,-0.0000,0.5000
2.744,-22.8522,-0.0000,0.5000
2.754,-22.8447,0.0000,0.5000
2.764,-22.8358,0.0000,0.5000
2.775,-22.8269,0.0000,0.5000
2.784,-22.8180,0.0000,0.5000
2.794,-22.8091,0.0000,0.5000
2.804,-22.8002,0.0000,0.5000
2.814,-22.7913,0.0000,0.5000
2.824,-22.7823,0.0000,0.5000
2.834,-22.7734,0.0000,0.5000
