metric,unit,baseline_mean,baseline_std,fish_mean,fish_std
Max speed,m/s,1.581435568540004,0.013608963753044788,1.1261032753844462,0.04746967748724083
Mean speed,m/s,0.9757522334322974,0.02966597642646877,0.7263706423917852,0.06794746976559024
Max accel,m/s^2,1.3551067062869562,0.24876018418812493,0.8541291810506522,0.38273471156210803
Mean accel,m/s^2,0.21796927929709337,0.024960312601577873,0.12258089149311853,0.03091151042217245
RMS jerk,m/s^3,0.658427496813047,0.11611367422054582,0.3377927524164399,0.12907955970961088
Path length,m,51.420378895453396,0.22354237487337666,52.325060147772675,0.37247053186264384
Traversal time,s,44.91945714285714,1.4331225346018626,64.50114285714287,4.326803354129482
Formation RMSE (mean),m,0.1757987023660821,0.023169482647043372,0.2172200890841915,0.026449435386396127
Formation RMSE (max),m,0.7744209550002553,0.07767057112917154,0.7993305257957807,0.20809509106105017
Min inter-agent dist,m,1.599297015207632,0.3536458822154742,1.7047373199851692,0.453326873641037
Mean obstacle clearance,m,1.1164182144745864,0.06777245570729498,1.0942114730053443,0.07687721682983308
Near-miss fraction (<0.3 m),-,0.05797578982892484,0.013944554298920012,0.06581257759625221,0.013053128657453193
