t,x,y,z
0.010,-17.4155,1.4304,0.5000
0.020,-17.4058,1.4296,0.5000
0.030,-17.3962,1.4289,0.5000
0.040,-17.3865,1.4282,0.5000
0.050,-17.3768,1.4274,0.5000
0.060,-17.3671,1.4267,0.5000
0.070,-17.3575,1.4260,0.5000
0.080,-17.3464,1.4251,0.5000
0.090,-17.3382,1.4245,0.5000
0.100,-17.3271,1.4237,0.5000
0.110,-17.3189,1.4230,0.5000
0.120,-17.3094,1.4223,0.5000
0.130,-17.2998,1.4216,0.5000
0.140,-17.2902,1.4209,0.5000
0.151,-17.2902,1.4209,0.5000
0.160,-17.2710,1.4194,0.5000
0.171,-17.2615,1.4187,0.5000
0.180,-17.2518,1.4180,0.5000
0.190,-17.2424,1.4173,0.5000
0.200,-17.2329,1.4165,0.5000
0.210,-17.2234,1.4158,0.5000
0.220,-17.2138,1.4151,0.5000
0.230,-17.2043,1.4144,0.5000
0.240,-17.1949,1.4137,0.5000
0.250,-17.1854,1.4130,0.5000
0.260,-17.1759,1.4123,0.5000
0.270,-17.1665,1.4116,0.5000
0.280,-17.1570,1.4109,0.5000
0.290,-17.1476,1.4102,0.5000
0.300,-17.1382,1.4095,0.5000
0.310,-17.1288,1.4088,0.5000
0.320,-17.1194,1.4081,0.5000
0.330,-17.1100,1.4074,0.5000
0.340,-17.1006,1.4067,0.5000
0.350,-17.0913,1.4060,0.5000
0.360,-17.0819,1.4053,0.5000
0.370,-17.0726,1.4046,0.5000
0.380,-17.0633,1.4039,0.5000
0.390,-17.0539,1.4032,0.5000
0.400,-17.0446,1.4025,0.5000
0.410,-17.0353,1.4019,0.5000
0.420,-17.0261,1.4012,0.5000
0.430,-17.0168,1.4005,0.5000
0.440,-17.0075,1.3998,0.5000
0.450,-16.9982,1.3991,0.5000
0.460,-16.9890,1.3985,0.5000
0.470,-16.9798,1.3978,0.5000
0.480,-16.9706,1.3971,0.5000
0.490,-16.9614,1.3965,0.5000
0.500,-16.9522,1.3958,0.5000
0.510,-16.9431,1.3951,0.5000
0.520,-16.9339,1.3945,0.5000
0.530,-16.9247,1.3938,0.5000
0.540,-16.9156,1.3932,0.5000
0.550,-16.9065,1.3925,0.5000
0.560,-16.8973,1.3918,0.5000
0.570,-16.8882,1.3912,0.5000
0.580,-16.8791,1.3905,0.5000
0.590,-16.8700,1.3899,0.5000
0.600,-16.8609,1.3892,0.5000
0.610,-16.8519,1.3886,0.5000
0.620,-16.8428,1.3879,0.5000
0.630,-16.8337,1.3873,0.5000
0.640,-16.8247,1.3866,0.5000
0.650,-16.8157,1.3860,0.5000
0.660,-16.8066,1.3854,0.5000
0.670,-16.7977,1.3847,0.5000
0.680,-16.7887,1.3841,0.5000
0.690,-16.7797,1.3834,0.5000
0.700,-16.7707,1.3828,0.5000
0.710,-16.7617,1.3822,0.5000
0.720,-16.7528,1.3815,0.5000
0.730,-16.7438,1.3809,0.5000
0.740,-16.7349,1.3803,0.5000
0.750,-16.7260,1.3796,0.5000
0.760,-16.7170,1.3790,0.5000
0.770,-16.7081,1.3784,0.5000
0.780,-16.6992,1.3777,0.5000
0.790,-16.6903,1.3771,0.5000
0.800,-16.6815,1.3765,0.5000
0.810,-16.6726,1.3759,0.5000
0.820,-16.6637,1.3752,0.5000
0.830,-16.6549,1.3746,0.5000
0.840,-16.6460,1.3740,0.5000
0.850,-16.6372,1.3733,0.5000
0.860,-16.6283,1.3727,0.5000
0.870,-16.6195,1.3721,0.5000
0.880,-16.6107,1.3715,0.5000
0.890,-16.6019,1.3708,0.5000
0.900,-16.5932,1.3702,0.5000
0.910,-16.5844,1.3696,0.5000
0.920,-16.5756,1.3689,0.5000
0.930,-16.5669,1.3683,0.5000
0.940,-16.5581,1.3677,0.5000
0.950,-16.5494,1.3670,0.5000
0.960,-16.5407,1.3664,0.5000
0.970,-16.5320,1.3658,0.5000
0.980,-16.5233,1.3651,0.5000
0.990,-16.5146,1.3645,0.5000
1.000,-16.5059,1.3639,0.5000
1.010,-16.4972,1.3632,0.5000
1.020,-16.4885,1.3626,0.5000
1.030,-16.4799,1.3619,0.5000
1.040,-16.4713,1.3613,0.5000
1.050,-16.4626,1.3607,0.5000
1.060,-16.4540,1.3600,0.5000
